symbol,entry_date,exit_date,entry_price,exit_price,return
ACN,2012-03-19,2012-03-20,63.40999984741211,63.08000183105469,-0.005204195192422656
ACN,2012-03-28,2012-03-30,64.5,64.5,0.0
ACN,2012-04-02,2012-04-03,65.48999786376953,64.94999694824219,-0.008245547917876572
ACN,2012-04-30,2012-05-04,64.94999694824219,62.61000061035156,-0.036027658935154916
ACN,2012-06-07,2012-06-26,58.86000061035156,56.45000076293945,-0.040944611322145774
ACN,2012-06-29,2012-07-09,60.09000015258789,57.810001373291016,-0.037943064961012185
ACN,2012-07-19,2012-07-24,59.34999847412109,57.27000045776367,-0.03504630277731813
ACN,2012-07-27,2012-08-27,60.43000030517578,61.25,0.013569414044070305
ACN,2012-09-14,2012-09-26,65.88999938964844,64.3499984741211,-0.02337230125652856
ACN,2012-10-16,2012-11-08,70.75,65.94999694824219,-0.06784456610258394
ACN,2012-11-27,2012-12-28,67.3499984741211,65.66000366210938,-0.025092722350410934
ACN,2013-02-13,2013-02-14,73.55999755859375,73.12999725341797,-0.005845572586286041
ACN,2013-02-28,2013-03-19,74.36000061035156,76.18000030517578,0.0244755201705964
ACN,2013-03-20,2013-04-18,76.48999786376953,75.56999969482422,-0.012027692438740134
ACN,2013-05-03,2013-05-08,79.5,80.0,0.0062893081761006275
ACN,2013-06-05,2013-06-12,79.58000183105469,79.70999908447266,0.0016335417243888983
ACN,2013-06-18,2013-07-24,82.93000030517578,73.72000122070312,-0.11105750694055949
ACN,2013-09-04,2013-10-03,73.05000305175781,73.13999938964844,0.0012319826711966186
ACN,2013-10-21,2013-11-07,73.52999877929688,75.55000305175781,0.027471838786834013
ACN,2013-11-11,2013-11-20,75.48999786376953,78.16000366210938,0.03536900084641914
ACN,2013-12-13,2014-01-06,73.94000244140625,80.54000091552734,0.08926153984578589
ACN,2014-01-15,2014-01-24,84.22000122070312,81.18000030517578,-0.03609594955432094
ACN,2014-02-06,2014-03-04,78.5199966430664,83.9800033569336,0.06953651231911162
ACN,2014-04-17,2014-04-28,78.9000015258789,79.06999969482422,0.0021546028600463174
ACN,2014-05-01,2014-05-05,79.83999633789062,79.0,-0.010520996698643148
ACN,2014-05-14,2014-07-07,78.8499984741211,81.05000305175781,0.02790113659112836
ACN,2014-08-18,2014-09-12,79.80999755859375,80.97000122070312,0.014534565813734579
ACN,2014-10-21,2014-11-19,77.93000030517578,83.63999938964844,0.07327087209177674
ACN,2014-11-26,2014-12-05,85.1500015258789,86.19000244140625,0.012213750991082017
ACN,2014-12-18,2014-12-30,89.73999786376953,90.19000244140624,0.005014537423098986
ACN,2015-01-22,2015-01-28,89.5,84.36000061035156,-0.05743016077819485
ACN,2015-02-04,2015-03-06,87.33999633789062,90.66999816894533,0.03812688310830681
ACN,2015-04-09,2015-04-17,95.47000122070312,92.38999938964844,-0.03226146215222603
ACN,2015-04-23,2015-05-06,93.83999633789062,93.0,-0.008951367973907831
ACN,2015-05-11,2015-06-04,96.01000213623048,95.93000030517578,-0.0008332655897786978
ACN,2015-06-22,2015-07-01,98.58999633789062,98.05999755859376,-0.0053757865806225436
ACN,2015-07-16,2015-07-21,101.4499969482422,100.38999938964844,-0.010448473045638007
ACN,2015-08-04,2015-08-21,103.41999816894533,97.12999725341795,-0.06081996738437501
ACN,2015-09-10,2015-10-08,96.80999755859376,105.01000213623048,0.08470204301651507
ACN,2015-10-09,2015-11-10,104.77999877929688,105.06999969482422,0.002767712530119315
ACN,2015-12-15,2015-12-21,106.72000122070312,102.98999786376952,-0.0349513054185574
ACN,2015-12-22,2016-01-04,103.76000213623048,101.83000183105467,-0.018600619366235582
ACN,2016-02-01,2016-02-05,106.27999877929688,98.97000122070312,-0.06878055741959344
ACN,2016-02-18,2016-04-08,98.5199966430664,112.83000183105467,0.14524975310172605
ACN,2016-05-16,2016-06-07,117.1500015258789,119.6500015258789,0.021340161907277055
ACN,2016-07-08,2016-08-02,115.11000061035156,112.83000183105467,-0.019807130285879437
ACN,2016-08-05,2016-09-08,114.5999984741211,112.3000030517578,-0.020069768350674755
ACN,2016-09-21,2016-10-11,111.6999969482422,116.97000122070312,0.04717998582312277
ACN,2016-12-09,2016-12-30,123.30999755859376,117.12999725341795,-0.05011759328143062
ACN,2017-01-05,2017-02-24,114.98999786376952,123.43000030517578,0.07339770935038437
ACN,2017-03-17,2017-04-06,125.22000122070312,116.80999755859376,-0.06716182383105507
ACN,2017-04-28,2017-05-05,121.3000030517578,121.5199966430664,0.0018136321992896498
ACN,2017-05-15,2017-05-17,122.25,120.44000244140624,-0.014805706000767027
ACN,2017-05-23,2017-06-08,122.1500015258789,126.16999816894533,0.03291032822635476
